Año	Mes	Dia	Minuto	Segundo	Fecha	Hora	FechaHora	Latitud	Longitud	Magnitud	Profundidad	Radiacion	Presion	Humedad	Temperatura	VelocidadViento
2017	4	2	41	21	170402	800	1704020800	-33,171	-71,517	2,9	41,5	354	1013	66	14,9	0,9
2017	4	5	39	36	170405	1100	1704051100	-33,484	-71,633	2,6	49,8	812	1008	53	20,9	1,1
2017	4	7	0	13	170407	1300	1704071300	-33,099	-71,924	2,8	32,5	800	1010	52	21,3	1,4
2017	4	7	21	16	170407	1900	1704071900	-33,524	-71,975	2,6	27,9	0	1009	58	16,1	0,9
2017	4	9	5	15	170409	1800	1704091800	-32,729	-71,598	2,8	36,5	6	1008	51	18,0	0,7
2017	4	15	57	38	170415	1100	1704151100	-32,784	-71,974	2,2	17,6	717	1008	58	19,7	1,0
2017	4	19	41	15	170419	1200	1704191200	-33,112	-72,977	3,8	33,0	584	1012	68	18,9	1,0
2017	4	22	46	44	170422	1900	1704221900	-33,039	-71,962	4,8	27,6	0	1007	43	19,4	1,1
2017	4	22	59	56	170422	1900	1704221900	-33,033	-72,110	3,1	20,0	0	1007	43	19,4	1,1
2017	4	22	10	58	170422	2000	1704222000	-33,014	-72,081	2,7	20,1	0	1007	48	18,1	0,7
2017	4	22	18	28	170422	2000	1704222000	-33,013	-72,057	2,6	15,1	0	1007	48	18,1	0,7
2017	4	22	28	34	170422	2000	1704222000	-33,017	-72,028	3,3	15,0	0	1007	48	18,1	0,7
2017	4	22	55	36	170422	2000	1704222000	-33,017	-72,075	2,6	20,1	0	1007	48	18,1	0,7
2017	4	22	57	13	170422	2000	1704222000	-33,052	-71,915	3,9	31,9	0	1007	48	18,1	0,7
2017	4	22	23	33	170422	2100	1704222100	-33,029	-72,058	2,4	20,1	0	1007	56	17,2	0,3
2017	4	22	47	21	170422	2200	1704222200	-33,018	-72,056	2,3	20,1	0	1008	75	15,6	0,1
2017	4	22	49	12	170422	2200	1704222200	-33,029	-72,056	4,6	20,1	0	1008	75	15,6	0,1
2017	4	22	51	9	170422	2200	1704222200	-33,034	-72,028	3,8	20,1	0	1008	75	15,6	0,1
2017	4	22	51	45	170422	2200	1704222200	-33,068	-72,057	3,6	15,4	0	1008	75	15,6	0,1
2017	4	22	52	35	170422	2200	1704222200	-33,031	-72,034	3,4	20,1	0	1008	75	15,6	0,1
2017	4	22	53	29	170422	2200	1704222200	-33,001	-72,038	3,5	20,0	0	1008	75	15,6	0,1
2017	4	22	2	32	170422	2300	1704222300	-33,001	-72,069	2,3	20,1	0	1008	73	15,0	NA
2017	4	22	7	30	170422	2300	1704222300	-33,026	-72,037	3,0	20,1	0	1008	73	15,0	NA
2017	4	22	17	57	170422	2300	1704222300	-33,000	-72,071	3,8	27,1	0	1008	73	15,0	NA
2017	4	22	27	6	170422	2300	1704222300	-33,035	-72,083	2,5	16,1	0	1008	73	15,0	NA
2017	4	22	36	6	170422	2300	1704222300	-33,023	-72,120	5,9	23,9	0	1008	73	15,0	NA
2017	4	22	42	17	170422	2300	1704222300	-33,073	-71,978	4,5	20,1	0	1008	73	15,0	NA
2017	4	22	43	18	170422	2300	1704222300	-33,012	-71,997	4,6	20,1	0	1008	73	15,0	NA
2017	4	22	52	38	170422	2300	1704222300	-33,050	-72,003	4,7	25,0	0	1008	73	15,0	NA
2017	4	23	0	12	170423	0	1704230000	-33,061	-71,971	4,4	18,0	0	1008	71	13,8	NA
2017	4	23	2	17	170423	0	1704230000	-33,071	-72,023	4,7	25,1	0	1008	71	13,8	NA
2017	4	23	10	4	170423	0	1704230000	-32,994	-71,948	4,0	26,7	0	1008	71	13,8	NA
2017	4	23	21	4	170423	0	1704230000	-33,017	-72,013	3,7	20,1	0	1008	71	13,8	NA
2017	4	23	24	21	170423	0	1704230000	-33,019	-71,921	2,4	28,6	0	1008	71	13,8	NA
2017	4	23	31	2	170423	0	1704230000	-32,997	-71,967	3,7	20,1	0	1008	71	13,8	NA
2017	4	23	43	35	170423	0	1704230000	-33,044	-72,040	2,6	25,8	0	1008	71	13,8	NA
2017	4	23	1	8	170423	100	1704230100	-33,018	-71,922	3,0	30,1	0	1008	69	12,8	0,2
2017	4	23	9	59	170423	100	1704230100	-33,019	-72,035	2,7	20,1	0	1008	69	12,8	0,2
2017	4	23	15	21	170423	100	1704230100	-32,995	-71,972	3,1	30,2	0	1008	69	12,8	0,2
2017	4	23	18	27	170423	100	1704230100	-33,058	-71,966	3,9	25,1	0	1008	69	12,8	0,2
2017	4	23	31	7	170423	100	1704230100	-33,020	-71,981	3,0	20,4	0	1008	69	12,8	0,2
2017	4	23	35	19	170423	100	1704230100	-33,032	-71,962	3,1	27,1	0	1008	69	12,8	0,2
2017	4	23	44	5	170423	100	1704230100	-33,039	-72,085	3,2	24,8	0	1008	69	12,8	0,2
2017	4	23	7	7	170423	200	1704230200	-32,999	-72,016	2,3	20,1	0	1008	68	12,1	0,0
2017	4	23	12	45	170423	200	1704230200	-33,043	-71,950	3,2	27,8	0	1008	68	12,1	0,0
2017	4	23	17	48	170423	200	1704230200	-33,009	-72,000	2,4	25,9	0	1008	68	12,1	0,0
2017	4	23	19	34	170423	200	1704230200	-33,009	-72,057	2,7	20,1	0	1008	68	12,1	0,0
2017	4	23	22	5	170423	200	1704230200	-33,028	-72,001	2,2	20,1	0	1008	68	12,1	0,0
2017	4	23	22	48	170423	200	1704230200	-33,032	-72,108	2,3	20,1	0	1008	68	12,1	0,0
2017	4	23	29	8	170423	200	1704230200	-33,014	-72,085	2,5	20,1	0	1008	68	12,1	0,0
2017	4	23	9	23	170423	300	1704230300	-33,018	-72,083	2,2	20,1	0	1008	68	11,4	0,1
2017	4	23	14	26	170423	400	1704230400	-33,083	-72,146	3,5	29,3	0	1008	68	10,8	0,6
2017	4	23	20	2	170423	400	1704230400	-32,992	-71,951	2,7	20,1	0	1008	68	10,8	0,6
2017	4	23	22	27	170423	400	1704230400	-33,123	-72,030	2,3	17,2	0	1008	68	10,8	0,6
2017	4	23	39	56	170423	400	1704230400	-33,052	-72,143	2,6	33,1	0	1008	68	10,8	0,6
2017	4	23	52	18	170423	400	1704230400	-32,984	-71,982	3,0	20,1	0	1008	68	10,8	0,6
2017	4	23	53	12	170423	400	1704230400	-33,055	-72,109	2,9	18,3	0	1008	68	10,8	0,6
2017	4	23	3	32	170423	500	1704230500	-33,034	-71,974	3,4	27,4	0	1008	68	10,6	0,6
2017	4	23	27	14	170423	500	1704230500	-33,006	-72,089	2,5	32,5	0	1008	68	10,6	0,6
2017	4	23	28	8	170423	500	1704230500	-33,016	-72,140	2,6	20,1	0	1008	68	10,6	0,6
2017	4	23	10	18	170423	600	1704230600	-33,035	-72,067	3,3	32,6	0	1008	69	10,1	0,1
2017	4	23	44	18	170423	600	1704230600	-32,954	-72,056	3,0	20,5	0	1008	69	10,1	0,1
2017	4	23	46	46	170423	600	1704230600	-32,957	-72,038	2,6	25,1	0	1008	69	10,1	0,1
2017	4	23	21	46	170423	700	1704230700	-33,023	-71,674	2,9	42,1	26	1008	69	10,2	0,4
2017	4	23	30	59	170423	800	1704230800	-33,103	-72,057	2,6	19,0	179	1009	66	11,1	0,8
2017	4	23	28	56	170423	900	1704230900	-33,036	-71,903	2,6	31,0	497	1009	49	17,2	0,6
2017	4	23	52	15	170423	900	1704230900	-33,070	-71,974	3,9	26,1	497	1009	49	17,2	0,6
2017	4	23	1	40	170423	1000	1704231000	-33,031	-72,043	2,4	20,1	670	1009	44	20,0	1,2
2017	4	23	55	59	170423	1000	1704231000	-32,994	-71,927	3,3	26,1	670	1009	44	20,0	1,2
2017	4	23	12	3	170423	1100	1704231100	-32,960	-72,038	3,1	18,3	769	1009	34	23,2	1,1
2017	4	23	38	56	170423	1100	1704231100	-32,956	-72,047	2,7	27,9	769	1009	34	23,2	1,1
2017	4	23	14	55	170423	1200	1704231200	-33,048	-72,037	2,9	25,0	813	1008	19	26,2	2,2
2017	4	23	38	35	170423	1200	1704231200	-33,036	-71,856	2,6	4,8	813	1008	19	26,2	2,2
2017	4	23	12	54	170423	1300	1704231300	-32,991	-71,964	4,3	26,9	784	1008	16	27,1	2,5
2017	4	23	25	20	170423	1400	1704231400	-33,040	-72,053	2,6	33,7	681	1007	23	26,1	3,2
2017	4	23	15	41	170423	1600	1704231600	-33,002	-72,085	2,6	20,1	120	1007	33	21,3	3,9
2017	4	23	40	10	170423	1600	1704231600	-33,053	-72,156	5,5	17,3	120	1007	33	21,3	3,9
2017	4	23	44	20	170423	1600	1704231600	-33,087	-72,044	3,8	17,0	120	1007	33	21,3	3,9
2017	4	23	46	21	170423	1600	1704231600	-33,059	-71,969	3,2	19,5	120	1007	33	21,3	3,9
2017	4	23	51	28	170423	1600	1704231600	-33,040	-72,101	3,4	18,1	120	1007	33	21,3	3,9
2017	4	23	55	43	170423	1600	1704231600	-33,091	-72,049	2,9	17,4	120	1007	33	21,3	3,9
2017	4	23	4	7	170423	1700	1704231700	-33,104	-72,193	2,7	20,1	28	1008	40	19,4	4,6
2017	4	23	7	15	170423	1700	1704231700	-33,070	-72,078	2,7	18,2	28	1008	40	19,4	4,6
2017	4	23	14	59	170423	1700	1704231700	-33,035	-72,076	2,6	20,1	28	1008	40	19,4	4,6
2017	4	23	15	57	170423	1700	1704231700	-33,047	-72,092	2,3	25,1	28	1008	40	19,4	4,6
2017	4	23	30	52	170423	1700	1704231700	-33,050	-71,942	3,6	20,0	28	1008	40	19,4	4,6
2017	4	23	42	4	170423	1700	1704231700	-33,076	-72,155	3,0	25,0	28	1008	40	19,4	4,6
2017	4	23	45	9	170423	1700	1704231700	-33,010	-72,145	2,3	15,0	28	1008	40	19,4	4,6
2017	4	23	46	54	170423	1700	1704231700	-33,071	-72,050	2,5	16,6	28	1008	40	19,4	4,6
2017	4	23	48	59	170423	1700	1704231700	-33,106	-71,954	2,7	14,5	28	1008	40	19,4	4,6
2017	4	23	53	13	170423	1700	1704231700	-33,055	-72,024	2,9	18,2	28	1008	40	19,4	4,6
