Fecha	Hora	FechaHora	Radiacion	Presion	Humedad	Temperatura	VelocidadViento	NumeroSismos	LatitudPromedio	LongitudPromedio	MagnitudPromedio	ProfundidadPromedio
170401	0	1704010000	0	1009	82	13,7	0,2	0	NA	NA	NA	NA
170401	100	1704010100	0	1009	82	13,7	0,2	0	NA	NA	NA	NA
170401	200	1704010200	0	1010	80	12,8	0,7	0	NA	NA	NA	NA
170401	300	1704010300	0	1009	83	11,7	0,4	0	NA	NA	NA	NA
170401	400	1704010400	0	1009	85	11,1	0,4	0	NA	NA	NA	NA
170401	500	1704010500	0	1010	86	10,8	0,1	0	NA	NA	NA	NA
170401	600	1704010600	0	1010	86	10,8	0,4	0	NA	NA	NA	NA
170401	700	1704010700	22	1011	83	11,5	0,4	0	NA	NA	NA	NA
170401	800	1704010800	175	1012	76	13,7	0,6	0	NA	NA	NA	NA
170401	900	1704010900	444	1012	64	17,2	0,8	0	NA	NA	NA	NA
170401	1000	1704011000	752	1012	53	20,5	0,9	0	NA	NA	NA	NA
170401	1100	1704011100	848	1012	57	19,9	2,2	0	NA	NA	NA	NA
170401	1200	1704011200	868	1013	58	20,0	2,2	0	NA	NA	NA	NA
170401	1300	1704011300	765	1013	58	20,8	1,6	0	NA	NA	NA	NA
170401	1400	1704011400	689	1013	61	20,1	2,0	0	NA	NA	NA	NA
170401	1500	1704011500	618	1013	63	20,2	1,8	0	NA	NA	NA	NA
170401	1600	1704011600	417	1013	60	20,3	1,4	0	NA	NA	NA	NA
170401	1700	1704011700	187	1013	56	19,5	0,8	0	NA	NA	NA	NA
170401	1800	1704011800	11	1013	54	18,6	1,3	0	NA	NA	NA	NA
170401	1900	1704011900	0	1013	61	17,2	1,5	0	NA	NA	NA	NA
170401	2000	1704012000	0	1013	66	16,4	0,9	0	NA	NA	NA	NA
170401	2100	1704012100	0	1013	63	16,0	0,3	0	NA	NA	NA	NA
170401	2200	1704012200	0	1012	65	15,3	0,1	0	NA	NA	NA	NA
170401	2300	1704012300	0	1012	68	14,6	NA	0	NA	NA	NA	NA
170402	0	1704020000	0	1012	68	14,6	0,3	0	NA	NA	NA	NA
170402	100	1704020100	0	1012	73	13,3	NA	0	NA	NA	NA	NA
170402	200	1704020200	0	1012	78	12,4	NA	0	NA	NA	NA	NA
170402	300	1704020300	0	1011	80	11,7	NA	0	NA	NA	NA	NA
170402	400	1704020400	0	1011	82	11,5	NA	0	NA	NA	NA	NA
170402	500	1704020500	0	1012	81	11,3	0,0	0	NA	NA	NA	NA
170402	600	1704020600	0	1012	81	11,0	0,5	0	NA	NA	NA	NA
170402	700	1704020700	57	1012	82	10,7	0,7	0	NA	NA	NA	NA
170402	800	1704020800	354	1013	66	14,9	0,9	1	-33,171	-71,517	2,900	41,500
170402	900	1704020900	564	1012	50	20,2	0,6	0	NA	NA	NA	NA
170402	1000	1704021000	745	1012	51	20,5	0,9	0	NA	NA	NA	NA
170402	1100	1704021100	851	1011	51	21,4	1,4	0	NA	NA	NA	NA
170402	1200	1704021200	890	1010	40	24,6	1,5	0	NA	NA	NA	NA
170402	1300	1704021300	855	1009	28	28,4	1,4	0	NA	NA	NA	NA
170402	1400	1704021400	760	1008	24	29,8	2,8	0	NA	NA	NA	NA
170402	1500	1704021500	602	1008	28	27,3	3,4	0	NA	NA	NA	NA
170402	1600	1704021600	406	1007	32	24,7	3,5	0	NA	NA	NA	NA
170402	1700	1704021700	163	1007	38	22,4	2,2	0	NA	NA	NA	NA
170402	1800	1704021800	10	1007	47	20,0	1,9	0	NA	NA	NA	NA
170402	1900	1704021900	0	1006	52	18,5	1,8	0	NA	NA	NA	NA
170402	2000	1704022000	0	1006	58	17,7	1,5	0	NA	NA	NA	NA
170402	2100	1704022100	0	1006	57	17,9	1,1	0	NA	NA	NA	NA
170402	2200	1704022200	0	1005	55	18,1	1,4	0	NA	NA	NA	NA
170402	2300	1704022300	0	1005	55	17,6	0,7	0	NA	NA	NA	NA
170403	0	1704030000	0	1005	57	16,9	0,4	0	NA	NA	NA	NA
170403	100	1704030100	0	1005	63	15,6	NA	0	NA	NA	NA	NA
170403	200	1704030200	0	1004	68	14,3	NA	0	NA	NA	NA	NA
170403	300	1704030300	0	1004	71	13,1	NA	0	NA	NA	NA	NA
170403	400	1704030400	0	1004	74	12,3	NA	0	NA	NA	NA	NA
170403	500	1704030500	0	1004	75	11,5	NA	0	NA	NA	NA	NA
170403	600	1704030600	0	1005	76	11,0	0,4	0	NA	NA	NA	NA
170403	700	1704030700	56	1005	75	10,9	0,5	0	NA	NA	NA	NA
170403	800	1704030800	343	1006	61	15,0	0,8	0	NA	NA	NA	NA
170403	900	1704030900	552	1006	54	18,9	0,8	0	NA	NA	NA	NA
170403	1000	1704031000	730	1005	57	19,2	1,2	0	NA	NA	NA	NA
170403	1100	1704031100	772	1005	54	20,1	1,1	0	NA	NA	NA	NA
170403	1200	1704031200	813	1004	48	22,1	1,1	0	NA	NA	NA	NA
170403	1300	1704031300	727	1004	50	22,3	1,2	0	NA	NA	NA	NA
170403	1400	1704031400	530	1003	44	24,1	1,0	0	NA	NA	NA	NA
170403	1500	1704031500	404	1003	43	24,0	1,1	0	NA	NA	NA	NA
170403	1600	1704031600	243	1004	45	23,1	0,7	0	NA	NA	NA	NA
170403	1700	1704031700	71	1004	47	21,8	1,1	0	NA	NA	NA	NA
170403	1800	1704031800	10	1005	51	20,2	0,3	0	NA	NA	NA	NA
170403	1900	1704031900	0	1005	55	18,7	0,2	0	NA	NA	NA	NA
170403	2000	1704032000	0	1006	62	18,0	0,6	0	NA	NA	NA	NA
170403	2100	1704032100	0	1006	68	17,3	0,7	0	NA	NA	NA	NA
170403	2200	1704032200	0	1007	72	16,6	0,5	0	NA	NA	NA	NA
170403	2300	1704032300	0	1007	76	16,1	0,6	0	NA	NA	NA	NA
170404	0	1704040000	0	1007	80	15,1	NA	0	NA	NA	NA	NA
170404	100	1704040100	0	1007	83	14,5	NA	0	NA	NA	NA	NA
170404	200	1704040200	0	1007	85	13,3	NA	0	NA	NA	NA	NA
170404	300	1704040300	0	1006	87	12,4	0,3	0	NA	NA	NA	NA
170404	400	1704040400	0	1007	87	12,0	0,0	0	NA	NA	NA	NA
170404	500	1704040500	0	1007	87	11,5	0,0	0	NA	NA	NA	NA
170404	600	1704040600	0	1008	86	11,5	0,5	0	NA	NA	NA	NA
170404	700	1704040700	23	1008	85	11,8	0,7	0	NA	NA	NA	NA
170404	800	1704040800	200	1009	79	13,6	0,6	0	NA	NA	NA	NA
170404	900	1704040900	556	1009	62	19,1	0,5	0	NA	NA	NA	NA
170404	1000	1704041000	578	1010	66	18,5	1,3	0	NA	NA	NA	NA
170404	1100	1704041100	847	1010	61	20,1	1,6	0	NA	NA	NA	NA
170404	1200	1704041200	848	1010	55	21,6	1,5	0	NA	NA	NA	NA
170404	1300	1704041300	811	1009	53	22,2	1,4	0	NA	NA	NA	NA
170404	1400	1704041400	712	1009	61	20,7	2,0	0	NA	NA	NA	NA
170404	1500	1704041500	561	1009	65	19,8	2,2	0	NA	NA	NA	NA
170404	1600	1704041600	377	1009	71	17,9	1,7	0	NA	NA	NA	NA
170404	1700	1704041700	124	1010	71	17,6	1,0	0	NA	NA	NA	NA
170404	1800	1704041800	9	1010	65	17,7	0,2	0	NA	NA	NA	NA
170404	1900	1704041900	0	1010	65	16,8	0,5	0	NA	NA	NA	NA
170404	2000	1704042000	0	1011	69	15,8	0,3	0	NA	NA	NA	NA
170404	2100	1704042100	0	1011	67	15,5	0,5	0	NA	NA	NA	NA
170404	2200	1704042200	0	1011	70	15,0	0,5	0	NA	NA	NA	NA
170404	2300	1704042300	0	1011	74	14,2	0,1	0	NA	NA	NA	NA
170405	0	1704050000	0	1010	79	12,9	NA	0	NA	NA	NA	NA
170405	100	1704050100	0	1010	81	12,4	NA	0	NA	NA	NA	NA
170405	200	1704050200	0	1010	83	12,1	NA	0	NA	NA	NA	NA
170405	300	1704050300	0	1009	84	11,6	0,4	0	NA	NA	NA	NA
170405	400	1704050400	0	1009	84	11,5	0,7	0	NA	NA	NA	NA
170405	500	1704050500	0	1009	84	11,0	0,6	0	NA	NA	NA	NA
170405	600	1704050600	0	1009	85	10,6	0,6	0	NA	NA	NA	NA
170405	700	1704050700	50	1009	84	10,8	0,5	0	NA	NA	NA	NA
170405	800	1704050800	327	1009	71	14,4	0,5	0	NA	NA	NA	NA
170405	900	1704050900	527	1009	59	18,8	0,6	0	NA	NA	NA	NA
170405	1000	1704051000	705	1008	59	19,3	1,0	0	NA	NA	NA	NA
170405	1100	1704051100	812	1008	53	20,9	1,1	1	-33,484	-71,633	2,600	49,800
170405	1200	1704051200	853	1007	47	22,7	1,4	0	NA	NA	NA	NA
170405	1300	1704051300	811	1006	47	24,0	1,1	0	NA	NA	NA	NA
170405	1400	1704051400	716	1005	42	26,0	1,3	0	NA	NA	NA	NA
170405	1500	1704051500	569	1005	30	29,8	2,1	0	NA	NA	NA	NA
170405	1600	1704051600	381	1005	32	27,3	1,7	0	NA	NA	NA	NA
170405	1700	1704051700	106	1005	36	25,1	1,5	0	NA	NA	NA	NA
170405	1800	1704051800	9	1006	46	21,6	1,2	0	NA	NA	NA	NA
170405	1900	1704051900	0	1007	53	19,5	0,7	0	NA	NA	NA	NA
170405	2000	1704052000	0	1007	55	18,6	0,5	0	NA	NA	NA	NA
170405	2100	1704052100	0	1007	57	18,1	0,4	0	NA	NA	NA	NA
170405	2200	1704052200	0	1007	65	16,8	NA	0	NA	NA	NA	NA
170405	2300	1704052300	0	1007	67	15,4	NA	0	NA	NA	NA	NA
170406	0	1704060000	0	1006	70	14,4	NA	0	NA	NA	NA	NA
170406	100	1704060100	0	1005	73	13,7	NA	0	NA	NA	NA	NA
170406	200	1704060200	0	1005	76	12,9	NA	0	NA	NA	NA	NA
170406	300	1704060300	0	1004	76	12,6	NA	0	NA	NA	NA	NA
170406	400	1704060400	0	1004	77	12,0	NA	0	NA	NA	NA	NA
170406	500	1704060500	0	1005	78	11,5	NA	0	NA	NA	NA	NA
170406	600	1704060600	0	1005	79	11,1	0,0	0	NA	NA	NA	NA
170406	700	1704060700	48	1005	79	11,1	0,2	0	NA	NA	NA	NA
170406	800	1704060800	328	1005	65	14,9	1,0	0	NA	NA	NA	NA
170406	900	1704060900	526	1005	53	19,5	0,6	0	NA	NA	NA	NA
170406	1000	1704061000	701	1005	66	17,9	1,6	0	NA	NA	NA	NA
170406	1100	1704061100	805	1005	59	19,6	1,2	0	NA	NA	NA	NA
170406	1200	1704061200	840	1005	60	20,5	1,2	0	NA	NA	NA	NA
170406	1300	1704061300	810	1004	53	22,2	1,3	0	NA	NA	NA	NA
170406	1400	1704061400	679	1004	45	24,9	1,4	0	NA	NA	NA	NA
170406	1500	1704061500	494	1004	44	25,1	1,2	0	NA	NA	NA	NA
170406	1600	1704061600	309	1004	48	23,0	0,8	0	NA	NA	NA	NA
170406	1700	1704061700	113	1004	41	22,9	1,0	0	NA	NA	NA	NA
170406	1800	1704061800	15	1005	50	20,0	0,6	0	NA	NA	NA	NA
170406	1900	1704061900	0	1006	59	18,4	0,7	0	NA	NA	NA	NA
170406	2000	1704062000	0	1007	69	17,2	0,1	0	NA	NA	NA	NA
170406	2100	1704062100	0	1008	74	16,6	0,4	0	NA	NA	NA	NA
170406	2200	1704062200	0	1008	77	16,1	0,0	0	NA	NA	NA	NA
170406	2300	1704062300	0	1008	79	15,9	0,1	0	NA	NA	NA	NA
170407	0	1704070000	0	1008	83	15,6	NA	0	NA	NA	NA	NA
170407	100	1704070100	0	1009	83	15,6	NA	0	NA	NA	NA	NA
170407	200	1704070200	0	1009	81	15,6	0,0	0	NA	NA	NA	NA
170407	300	1704070300	0	1009	84	15,2	0,0	0	NA	NA	NA	NA
170407	400	1704070400	0	1009	93	14,2	0,4	0	NA	NA	NA	NA
170407	500	1704070500	0	1009	93	14,0	0,4	0	NA	NA	NA	NA
170407	600	1704070600	0	1009	94	13,9	0,3	0	NA	NA	NA	NA
170407	700	1704070700	28	1010	94	14,1	0,0	0	NA	NA	NA	NA
170407	800	1704070800	71	1010	89	15,0	0,5	0	NA	NA	NA	NA
170407	900	1704070900	267	1011	77	16,8	0,5	0	NA	NA	NA	NA
170407	1000	1704071000	386	1011	67	18,5	0,6	0	NA	NA	NA	NA
170407	1100	1704071100	469	1011	69	18,0	0,7	0	NA	NA	NA	NA
170407	1200	1704071200	651	1011	64	19,3	1,3	0	NA	NA	NA	NA
170407	1300	1704071300	800	1010	52	21,3	1,4	1	-33,099	-71,924	2,800	32,500
170407	1400	1704071400	795	1009	41	22,7	1,7	0	NA	NA	NA	NA
170407	1500	1704071500	612	1009	41	22,4	1,4	0	NA	NA	NA	NA
170407	1600	1704071600	389	1009	47	20,1	1,2	0	NA	NA	NA	NA
170407	1700	1704071700	80	1009	47	19,4	1,6	0	NA	NA	NA	NA
170407	1800	1704071800	7	1009	50	17,8	1,1	0	NA	NA	NA	NA
170407	1900	1704071900	0	1009	58	16,1	0,9	1	-33,524	-71,975	2,600	27,900
170407	2000	1704072000	0	1009	67	15,3	0,9	0	NA	NA	NA	NA
170407	2100	1704072100	0	1009	70	14,9	1,1	0	NA	NA	NA	NA
170407	2200	1704072200	0	1009	71	14,4	0,7	0	NA	NA	NA	NA
170407	2300	1704072300	0	1009	71	14,1	0,9	0	NA	NA	NA	NA
170408	0	1704080000	0	1009	72	13,6	0,3	0	NA	NA	NA	NA
170408	100	1704080100	0	1008	76	12,7	NA	0	NA	NA	NA	NA
170408	200	1704080200	0	1008	81	11,7	NA	0	NA	NA	NA	NA
